observation_date,FMPNSA
2010-04-01,2.0787332206964400
2010-05-01,2.0647095516324003
2010-06-01,2.1179227158427198
2010-07-01,2.4728786200284900
2010-08-01,2.3525774478912300
2010-09-01,2.6044107973575499
2010-10-01,1.9790040329098699
2010-11-01,1.8787134438753099
2010-12-01,1.7380939796566901
2011-01-01,1.8653057515621096
2011-02-01,1.7939573153853401
2011-03-01,1.9772840663790696
2011-04-01,2.0618416368961299
2011-05-01,1.9850781187415096
2011-06-01,2.4472374469041802
2011-07-01,2.3002712056040702
2011-08-01,2.3052312433719599
2011-09-01,2.6702092960476800
2011-10-01,2.0949266850948298
2011-11-01,2.0528862252831401
2011-12-01,1.6449956223368600
2012-01-01,2.1027883514761903
2012-02-01,2.0727170631289402
2012-03-01,2.0390765741467400
2012-04-01,1.8774500116705799
