date,WFH_1st_Quartile,No_WFH_1st_Quartile,WFH_4th_Quartile,No_WFH_4th_Quartile,WFH_Pooled,No_WFH_Pooled
2021-11-01,-1.0825755914592339,0.02198629901608573,-1.5335075575042323,-0.9775987930320529,-0.9400825878016272,-0.5539030814078805
2021-12-01,-1.4758074985614211,-0.2956793927051615,-2.0363802580203982,-1.3935383492235776,-1.3623759956528092,-0.9485632977087599
2022-01-01,-1.8869754334142508,-0.5983312259536744,-2.560046497213886,-1.8282046976050292,-1.8009156088245604,-1.3484558748839026
2022-02-01,-2.3325631777874056,-0.9146431587340409,-3.098627678543253,-2.283510564991631,-2.2468439146811514,-1.7612747107520033
2022-03-01,-2.804673239279043,-1.2489162999545167,-3.6797491319790154,-2.759142536775827,-2.736405174445644,-2.196498965457594
2022-04-01,-3.2424194014844865,-1.5331151666371223,-4.218264372710201,-3.1965077935407926,-3.186182477299493,-2.5776689492091442
2022-05-01,-3.6902036590902743,-1.7982618628110236,-4.762032895793622,-3.6135778748103364,-3.6418006387243906,-2.954118809833317
2022-06-01,-4.187519126743022,-2.0467938212638925,-5.343813385438501,-4.0518578788006465,-4.121095372998695,-3.327683323819275
2022-07-01,-4.569947679557251,-2.2404311250951547,-5.8735371752820065,-4.434751108082957,-4.544508877390818,-3.634055215687626
2022-08-01,-4.926203962071818,-2.411749134177099,-6.352257287165397,-4.793347702811312,-4.925954849198977,-3.896437907408301
2022-09-01,-5.233008718817489,-2.584191106037137,-6.805845311791159,-5.146714713710687,-5.282765863174643,-4.155962939436675
2022-10-01,-5.509828396558936,-2.7086892393450634,-7.215070409161517,-5.444191276758703,-5.59614011144578,-4.361942255884399
2022-11-01,-5.66366258690405,-2.794838264480215,-7.543057643976447,-5.665241903791706,-5.824813754364966,-4.5055187313606915
2022-12-01,-5.770905539745619,-2.8257581125783693,-7.796237139999063,-5.812570090681691,-5.994892146842323,-4.577803963712923
2023-01-01,-5.883008968338954,-2.8725696661288103,-8.042086525207637,-5.960002641622286,-6.154672085636226,-4.653512207762978
2023-02-01,-5.951289725553921,-2.886650196873841,-8.245567442020185,-6.065677909067313,-6.277287971942158,-4.691589529632689
2023-03-01,-5.927984731702107,-2.8145748230131273,-8.312530169841326,-6.079396209321375,-6.28828831417394,-4.646891814614951
2023-04-01,-5.898267718512784,-2.7716820633310046,-8.359828593900854,-6.098903303230574,-6.290697638679066,-4.616145983406317
2023-05-01,-5.771669929885337,-2.688676649304589,-8.327056401259703,-6.044596631001243,-6.207781508038668,-4.520504876180542
2023-06-01,-5.538815330738389,-2.565895740669033,-8.187422282594126,-5.906310276947346,-6.036800567570189,-4.359218540127996
2023-07-01,-5.382323223329588,-2.475355697731163,-8.075527842396646,-5.760959089577467,-5.895828754157195,-4.218370131436533
2023-08-01,-5.238936019788065,-2.4586500957440194,-8.014416202862584,-5.638128473756576,-5.7935895138186755,-4.137932190227911
2023-09-01,-5.133767168571901,-2.439182162252518,-7.942732074472625,-5.523905039155164,-5.7003362693776705,-4.062156824590746
2023-10-01,-4.979361855219566,-2.381599733187856,-7.846925870974331,-5.364372414205098,-5.57336996503488,-3.9492424990403396
2023-11-01,-4.879924507925537,-2.2871038227325613,-7.75486187689014,-5.217777606618668,-5.461869240256312,-3.8261766959243992
2023-12-01,-4.800385747533564,-2.2295944065631845,-7.6761975891531,-5.086068451332737,-5.353087329844719,-3.7346338520695355
2024-01-01,-4.7068181464681835,-2.1679877353872,-7.5780266257834406,-4.926555497448315,-5.2387480380645,-3.636680012798399
2024-02-01,-4.663059706415651,-2.1383494457578145,-7.496633719753287,-4.798087520041583,-5.135858273847349,-3.5644643355949635
2024-03-01,-4.640518384151515,-2.1646275120704273,-7.492942841030281,-4.725717570760302,-5.080161054910448,-3.530596970196642
2024-04-01,-4.592547849365136,-2.163513141856055,-7.474764152719371,-4.659617822675921,-5.008270266097381,-3.4820978000692504
2024-05-01,-4.560698271369712,-2.1627588940055453,-7.462058469451849,-4.619581066265921,-4.949409607912436,-3.4352530310143736
2024-06-01,-4.521629502385616,-2.135876034032713,-7.448156434850639,-4.5852396436059095,-4.87221291043014,-3.371193950874485
2024-07-01,-4.500783495327609,-2.132984780229319,-7.405506883122981,-4.562394628542643,-4.780439027313643,-3.3190807874765804
2024-08-01,-4.458804334006561,-2.087639519388995,-7.317193248529219,-4.5201880275798745,-4.672180249406188,-3.231009026258169
2024-09-01,-4.3991648967292685,-2.0267842936665836,-7.203572807741554,-4.45278334203687,-4.54803091351943,-3.125137392564392
2024-10-01,-4.394814591690466,-2.010631557539422,-7.076768155359181,-4.407191988253523,-4.43705161794461,-3.048800647213046
2024-11-01,-4.385951288610701,-2.0375790938125693,-6.966932903307099,-4.376246345884094,-4.34054707752316,-2.997128688727324
2024-12-01,-4.3961808216488985,-2.0925368328898575,-6.872776812367021,-4.375461131035618,-4.275140445210934,-2.9588236053157635
