date,profit_share,P,P_12m_change,U_rate
1983-01-01,5.009,98.0,3.5942002398296147,10.39026353714469
1983-04-01,5.401,99.13333333333333,3.305103755702003,10.095395776108282
1983-07-01,5.5489999999999995,100.10000000000001,2.5263452571538503,9.35323810567096
1983-10-01,5.545,101.10000000000001,3.234220753930302,8.534843737371375
1984-01-01,5.609999999999999,102.53333333333335,4.625645280806008,7.864549967758388
1984-04-01,5.497,103.5,4.405096341402204,7.471702465215757
1984-07-01,5.187,104.39999999999999,4.295730018689888,7.4442795177973595
1984-10-01,5.137,105.3,4.154522730475711,7.27515088685178
1985-01-01,4.819,106.26666666666667,3.6407600754840836,7.272016086014278
1985-04-01,4.764,107.23333333333333,3.607032131397444,7.280760420979928
1985-07-01,4.749,107.89999999999999,3.352692375295533,7.202402587058759
1985-10-01,4.72,109.0,3.513417882290478,7.045814012274732
1986-01-01,3.875,109.56666666666666,3.108520937391179,7.006835668273946
1986-04-01,3.7670000000000003,109.03333333333335,1.6784437949353432,7.17163978939027
1986-07-01,3.7089999999999996,109.7,1.6681579718071122,6.982164658883654
1986-10-01,3.8059999999999996,110.46666666666665,1.346146186031542,6.826243098711568
1987-01-01,4.059,111.8,2.040206267080813,6.6116078749383815
1987-04-01,4.590000000000001,113.06666666666666,3.699097461524614,6.27152011356273
1987-07-01,4.826,114.26666666666667,4.162663026626631,6.004749620349166
1987-10-01,4.865,115.33333333333333,4.405610783182734,5.859465973438312
1988-01-01,4.972,116.23333333333333,3.9657684219989093,5.717853307967019
1988-04-01,5.137,117.56666666666666,3.979986700878772,5.477374838931303
1988-07-01,5.033,119.0,4.142289572369573,5.482335650513697
1988-10-01,5.163,120.3,4.3062449303434756,5.340139750989732
1989-01-01,5.055,121.66666666666667,4.6742075173991315,5.20500758506709
1989-04-01,4.867,123.63333333333333,5.16007232097911,5.233922793442438
1989-07-01,4.614999999999999,124.60000000000001,4.706762107416984,5.266667138771023
1989-10-01,4.5760000000000005,125.86666666666667,4.62726245901192,5.36283655056834
1990-01-01,4.645,128.03333333333333,5.232831190776925,5.300460651274556
1990-04-01,4.782,129.29999999999998,4.5835556718683,5.337599557468118
1990-07-01,4.807,131.53333333333333,5.563986716095148,5.6877369667566
1990-10-01,4.802,133.76666666666665,6.276642343789729,6.114045181895446
1991-01-01,4.963,134.76666666666668,5.260236559631637,6.57443502708345
1991-04-01,4.971,135.56666666666666,4.846902272359806,6.824205402202622
1991-07-01,5.002,136.6,3.854478201437598,6.854087536852526
1991-10-01,5.045999999999999,137.73333333333332,2.965256194834017,7.097498876221408
1992-01-01,5.183,138.66666666666666,2.8938359559324005,7.379999831448035
1992-04-01,5.325,139.73333333333332,3.073710745857028,7.595256539098475
1992-07-01,5.005,140.79999999999998,3.0748310601753723,7.627625982410723
1992-10-01,5.029999999999999,142.03333333333333,3.1223542430255975,7.407308468551676
1993-01-01,4.973000000000001,143.0666666666667,3.173319946081321,7.151067089931047
1993-04-01,5.126,144.1,3.125143812652253,7.070237750931113
1993-07-01,5.2620000000000005,144.76666666666668,2.817293781669387,6.800952994763773
1993-10-01,5.453,145.96666666666667,2.7692674756749853,6.620696392262167
1994-01-01,5.808,146.70000000000002,2.5394943820659766,6.55735652261746
1994-04-01,5.899,147.53333333333333,2.382561899555561,6.1672269203552545
1994-07-01,6.131,148.9,2.855010555094472,6.003249586894573
1994-10-01,6.212,149.76666666666668,2.603344144440034,5.621366179690775
1995-01-01,6.348,150.86666666666667,2.840339553572931,5.4799934049540395
1995-04-01,6.6129999999999995,152.1,3.095413472227001,5.676577834292972
1995-07-01,6.6290000000000004,152.86666666666667,2.6642831094231934,5.660615022660668
1995-10-01,6.651,153.70000000000002,2.6264758134387334,5.57435812632318
1996-01-01,6.827,155.06666666666666,2.783881388262851,5.547980033374017
1996-04-01,6.726,156.4,2.827094774662779,5.472741428171834
1996-07-01,6.607,157.29999999999998,2.900074323344389,5.261938063717946
1996-10-01,6.67,158.66666666666666,3.231265700211187,5.31300634898895
1997-01-01,6.749,159.63333333333333,2.9452232362230752,5.226919847700201
1997-04-01,6.861000000000001,160.0,2.3019186506632927,4.977902295193209
1997-07-01,7.020999999999999,160.79999999999998,2.225028454311606,4.86102360459057
1997-10-01,6.981,161.66666666666666,1.8911240605164286,4.6836528612886505
1998-01-01,6.081,162.0,1.4826793214697487,4.641214843633467
1998-04-01,6.003,162.53333333333333,1.5833085441197214,4.4176446221064
1998-07-01,5.869,163.36666666666667,1.5964501135180627,4.532142842578346
1998-10-01,5.585,164.13333333333333,1.525740097731772,4.433573096966884
1999-01-01,5.87,164.73333333333332,1.6872427983539051,4.288387820044885
1999-04-01,5.969,165.96666666666667,2.112585759261313,4.252820395487103
1999-07-01,5.877000000000001,167.20000000000002,2.3463197156808078,4.248133837612941
1999-10-01,5.970000000000001,168.43333333333334,2.6197635342648296,4.082940096208331
2000-01-01,5.649,170.1,3.257688294692914,4.049781105341834
2000-04-01,5.457999999999999,171.4333333333333,3.29377788429183,3.9488387046744946
2000-07-01,5.371,173.0,3.4690208756786856,4.031027067602117
2000-10-01,5.111000000000001,174.23333333333335,3.4435088887033207,3.9192194632782997
2001-01-01,5.376,175.9,3.4110242888877838,4.230844260020505
2001-04-01,5.489,177.13333333333333,3.325100304470478,4.411687976299073
2001-07-01,5.021,177.63333333333333,2.678376859083668,4.819141099792912
2001-10-01,4.809,177.5,1.8752331260311284,5.536940335528347
2002-01-01,5.179,178.0666666666667,1.2317084729315624,5.704380412586578
2002-04-01,5.645,179.46666666666667,1.3180144852859972,5.8441518378437785
